"Account Name","Processed Date","Description","Check Number","Credit or Debit","Amount"
"Rosatis Pizza",2025-05-30,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8739194 W043",,"Debit",600.00
"Rosatis Pizza",2025-05-30,"INTEGRA GRAPHICS ACH ROSATIS PONTOON BEACH ACH",,"Debit",1311.87
"Rosatis Pizza",2025-05-30,"GRUBHUB INC      MAY ACTVTY SRI PAGANO 25053028NF6FB3B",,"Credit",62.61
"Rosatis Pizza",2025-05-30,"TRANSFER FROM X4649 TO X5669",,"Debit",500.00
"Rosatis Pizza",2025-05-30,"SERVICE CHARGE",,"Debit",15.00
"Rosatis Pizza",2025-05-30,"BREAKTHRU BEVERA FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",691.87
"Rosatis Pizza",2025-05-30,"ROBERT CHICK FRI FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",138.25
"Rosatis Pizza",2025-05-30,"DOORDASH, INC.   5257 IL-11 SRI GANESH FOODS INC ST-W1S7P8R8H1O7",,"Credit",1466.29
"Rosatis Pizza",2025-05-30,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011906033",,"Debit",901.62
"Rosatis Pizza",2025-05-30,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2561.03
"Rosatis Pizza",2025-05-29,"RETURN ITEM FEE",,"Debit",35.00
"Rosatis Pizza",2025-05-29,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011899791",,"Debit",901.62
"Rosatis Pizza",2025-05-29,"TRANSFER FROM X4649 TO X4665",,"Debit",990.00
"Rosatis Pizza",2025-05-29,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2108.98
"Rosatis Pizza",2025-05-29,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8731831 W042",,"Debit",600.00
"Rosatis Pizza",2025-05-29,"ACCURATE ACCOUNT ACH SRI GANESH FOODS INC SRI GANESH FOOD",,"Debit",325.00
"Rosatis Pizza",2025-05-29,"TRANSFER FROM X4649 TO X5669",,"Debit",1900.00
"Rosatis Pizza",2025-05-29,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",3326.11
"Rosatis Pizza",2025-05-29,"OD RETURN ITEM CREDIT",,"Credit",3137.21
"Rosatis Pizza",2025-05-29,"CALL FORCE ONE   CALL FORCE ROSATIS PONTOON 30",,"Debit",150.15
"Rosatis Pizza",2025-05-29,"INTEGRA GRAPHICS ACH ROSATIS PONTOON BEACH ACH",,"Debit",273.78
"Rosatis Pizza",2025-05-28,"REWARDS NETWORK  SETTLEMENT ROSATI'S PIZZA 38318-029860192",,"Debit",3137.21
"Rosatis Pizza",2025-05-28,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8726699 W041",,"Debit",600.00
"Rosatis Pizza",2025-05-28,"ROSATI'S PIZZA E ACH DEBIT JAYESH PATEL 9026426795",,"Debit",2126.55
"Rosatis Pizza",2025-05-28,"SOCIAL PAGE SOLU SALE PONTOON BEACH ROSATI S",,"Debit",200.00
"Rosatis Pizza",2025-05-28,"UBER USA 6787    EDI PAYMNT SRI GANESH FOODS INC U21OEU80I55B53X REF*TN*U21OEU80I5\",,"Credit",482.77
"Rosatis Pizza",2025-05-28,"TRANSFER FROM X1239 TO X4649",,"Credit",2200.00
"Rosatis Pizza",2025-05-28,"PRAIRIESTATEGAMI VGTPAYMENT ROSATISPIZZA ROSATISPIZZA",,"Credit",900.51
